City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
175,Chuy,UY,71.82,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
180,Pahrump,US,58.62,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
184,Port Elizabeth,ZA,65.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
185,Shimoda,JP,53.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
189,Odweyne,SO,70.48,clear sky,9.4092,45.064,Eng Hiirey House
191,Alice Springs,AU,65.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
192,Soavinandriana,MG,63.57,light rain,-19.1667,46.7333,
193,Morehead,US,50.14,mist,37.2711,-87.1764,CCI Express Inn
196,Kaeo,NZ,62.33,broken clouds,-35.1,173.7833,Bushido Lodge
198,Lompoc,US,74.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
202,Goma,CD,62.94,light rain,-1.6792,29.2228,Hotel la Versailles Goma
208,Gat,IL,64.81,clear sky,31.61,34.7642,OlusHome
209,Huarmey,PE,71.62,overcast clouds,-10.0681,-78.1522,Hotel Miramar
210,Ponta Do Sol,PT,64.71,overcast clouds,32.6667,-17.1,Hotel do Campo
212,Sijunjung,ID,72.64,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
213,Palmer,US,54.55,overcast clouds,42.1584,-72.3287,Wedgewood Motel
217,Tura,IN,58.23,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
224,Suez,EG,66.2,clear sky,29.9737,32.5263,Green House
226,Bethel,US,55.99,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
234,Andrews,US,53.55,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
238,Kinshasa,CD,70.54,overcast clouds,-4.3246,15.3215,Flat Hotel Alhdeef
246,Kingman,US,56.55,haze,35.1894,-114.053,Rodeway Inn Kingman Route 66
247,Codrington,AU,51.3,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
248,Tianpeng,CN,52.27,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
249,Socorro,US,54.59,overcast clouds,31.6546,-106.3033,guarderia imss papalote
253,Pulsano,IT,62.53,light rain,40.3821,17.3564,Gabbiano Hotel
254,Red Bluff,US,59.86,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
258,Half Moon Bay,US,67.96,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
261,Shelton,US,56.57,broken clouds,41.3165,-73.0932,Hilton Garden Inn Shelton
264,Vinh,VN,63.16,broken clouds,18.6667,105.6667,Khách Sạn Thương Mại
265,Pacific Grove,US,71.31,clear sky,36.6177,-121.9166,Lovers Point Inn
268,Westport,US,57.25,broken clouds,41.1415,-73.3579,Norwalk Inn
274,Atalanti,GR,50.18,overcast clouds,38.6511,22.9992,Κεντρική Πλατεία Μεγαπλατάνου
279,Makamba,BI,63.32,overcast clouds,-4.1348,29.804,Inanzerwe Hotel
280,Negombo,LK,73.45,few clouds,7.2083,79.8358,Hotel Sunset Beach
282,Tortosa,ES,50.95,overcast clouds,40.8125,0.5216,Parador de Tortosa
285,Tukrah,LY,72.12,scattered clouds,32.5341,20.5791,Lagrota restaurant
286,Kon Tum,VN,63.32,broken clouds,14.35,108.0,Hoa đà spa- homestay
288,Rayachoti,IN,69.78,overcast clouds,14.05,78.75,Swetha lodge
290,Hualmay,PE,70.83,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
297,Kamogawa,JP,52.14,clear sky,35.1,140.1,Kamogawa Grand Hotel
300,Willowmore,ZA,55.0,overcast clouds,-33.2926,23.4895,Jumper's Place
315,Nanga Eboko,CM,71.58,scattered clouds,4.6833,12.3667,Motel Papi Palace
319,Yulara,AU,62.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
321,Abu Samrah,SY,57.33,scattered clouds,35.3029,37.1841,
328,Hervey Bay,AU,74.03,moderate rain,-25.2986,152.8535,Shelly Bay Resort
334,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
339,Mandurah,AU,69.22,scattered clouds,-32.55,115.7,Atrium Hotel Mandurah
341,Kyaikto,MM,74.79,few clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
342,Hirara,JP,73.76,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
348,Camacha,PT,59.76,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
360,Lagoa,PT,62.29,overcast clouds,39.05,-27.9833,Casa Das Faias
362,Te Anau,NZ,54.48,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
365,Pathein,MM,73.47,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
367,Fukue,JP,59.02,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
370,Dickinson,US,71.69,overcast clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
372,Constitucion,CL,66.87,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
380,Udayagiri,IN,63.16,scattered clouds,20.1333,84.3833,Hotel Disha
385,Phan Thiet,VN,74.3,overcast clouds,10.9333,108.1,Hotel Saigon-PT
386,Antalaha,MG,73.02,few clouds,-14.9003,50.2788,Hotel Vitasoa
387,Praia Da Vitoria,PT,61.05,broken clouds,38.7333,-27.0667,Hotel Branco I
388,Avera,US,68.68,broken clouds,33.194,-82.5271,
391,Adre,TD,70.39,clear sky,13.4667,22.2,
393,Marystown,CA,53.85,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
405,Mareeba,AU,73.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
408,Lavumisa,SZ,65.52,light rain,-27.31,31.892,ROADSIDE B&B
409,Kibiti,TZ,73.15,few clouds,-7.7218,38.9375,Experia Guest House
411,Ocampo,MX,72.28,scattered clouds,21.65,-101.5,Casa de ratas
413,Billings,US,52.93,broken clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
414,Waipawa,NZ,59.45,broken clouds,-41.4122,175.5153,Tora Coastal Walk
415,Ukiah,US,69.37,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
